 -1.82700769799175170e-10  8.78027345136712991e-14  1.74751358069491193e-16     
 -5.50693112436043205e-20 -5.53666433446837047e-23  1.09977889213171521e-27     
 -1.37586309558559637e-27 -1.02457338848736148e-31  2.56887257478856164e-32     
1136+1551   5-Mar-17   83000.00   57817.35416666660             4.840709 -0.071 -10.107
    829903846.404327    0.841812442909  vla  300   12   327.250                 
 -7.06660062848857155e-11  2.00800841539603141e-04 -1.64930948887579997e-07     
  3.09721795065365802e-11  2.15675564359142003e-13 -2.93249929234645111e-17     
 -1.41154500636562371e-19 -1.54785586705334474e-23  2.24904725009449287e-25     
  1.29358197147058204e-27 -3.12182646910447676e-30 -2.19674221957320817e-32     
1136+1551   5-Mar-17  133000.00   57817.56250000000             4.840709 -0.057  -9.960
    829918999.076117    0.841812442909  vla  300   12   327.250                 
  1.45357364911326394e-10  1.30435598201954179e-04 -4.37342480433369115e-08     
  1.98529334509700656e-10  2.23398129855469053e-14 -1.90120968394824000e-16     
 -1.57315793566582034e-20  8.85439281523881342e-23  4.43095374334083588e-26     
  1.98108251674886191e-28 -3.22601089696311546e-31 -7.39003893992902079e-33     
1136+1551   5-Mar-17  183000.00   57817.77083333330             4.840709 -0.061 -10.022
    829934151.740370    0.841812442909  vla  300   12   327.250                
 -1.08390304246242719e-10  1.52741756021790032e-04  9.82973369020034909e-08
  7.04258231629842770e-11 -2.04237211440762033e-13 -6.73397464670735764e-17
  1.27796149620285557e-19  3.87730063258874811e-23  1.14429306945217161e-25
 -7.62257084984333121e-28 -3.09543623461719475e-30  1.58471433851601673e-32
