   1028039740.132478    1.245252064335  vla  300   12   327.250                
 -5.16756971432698046e-10  5.86197308750587530e-03  1.67596703891312915e-07
 -1.83040741939908376e-10 -2.58046382238124118e-13  1.73310083213263660e-16
  1.42339027844717542e-19  1.05293778378229007e-22  8.40374298431245839e-25
 -7.97135048862265239e-27 -1.22927144422770275e-29  1.25224457790047367e-31
1740+1311   5-Mar-17   93000.00   57817.39583333330            48.668313 -0.804 -8.937
   1028062156.436799    1.245252064335  vla  300   12   327.250                
 -1.89573123409408156e-09  5.89421815413782024e-03 -7.43412593131961533e-08
 -2.75168571591710184e-10  1.27412748024553385e-13  2.68009577150563331e-16
 -8.21362784550137520e-20 -4.64990899166115225e-22  2.49709329492422677e-25
  1.12856232873808569e-26 -5.34609626788174096e-30 -1.37341933561757784e-31
1740+1311   5-Mar-17  143000.00   57817.60416666660            48.668313 -0.791 -9.008
   1028084572.729688    1.245252064335  vla  300   12   327.250                
  1.62074638650917090e-09  5.79802033679981208e-03 -1.97274993880935784e-07
  4.23012944103040365e-11  3.23508991749383239e-13 -4.00608867208978757e-17
 -2.14169316670668959e-19  3.76261102485258664e-23  2.45432223976459835e-25
 -2.66595211763700275e-27 -1.26854515663145193e-30  5.80302078991381184e-32
1740+1311   5-Mar-17  193000.00   57817.81250000000            48.668313 -0.781 -9.063
   1028106988.992026    1.245252064335  vla  300   12   327.250                
  1.39426818177680272e-10  5.72156134480513411e-03 -1.83141481588399017e-08
  2.96554308601256758e-10  3.77017878215960325e-14 -2.87820980417083907e-16
 -2.66084637751170584e-20  3.86485288701971844e-22  1.14232454522794437e-25
 -7.48346004362532562e-27 -1.57855799017340179e-30  7.44565376424951636e-32
1740+1311   6-Mar-17    3000.00   57818.02083333330            48.668313 -0.789 -9.065
   1028129405.251632    1.245252064335  vla  300   12   327.250                
 -1.62705893925897045e-09  5.78350840178714406e-03  1.95819438330062100e-07
  1.08912641208930153e-10 -3.04093692322416854e-13 -1.05870843063909309e-16
  1.80690230319712851e-19  3.07816789495872304e-22  7.49496254322173838e-25
 -1.42931266242618227e-26 -1.43231548442971196e-29  2.53914964392082003e-31
1740+1311   6-Mar-17   43000.00   57818.18750000000            48.668313 -0.802 -9.076
   1028147338.281136    1.245252064335  vla  300   12   327.250                
  1.08206373419473810e-10  5.87873875242881424e-03  1.64784956837516349e-07
 -1.87052821116570515e-10 -2.54720441289634423e-13  1.75497464356705137e-16
  1.55740451356876407e-19  1.37739844217093305e-22  2.47412452923750994e-25
 -5.96750657459190001e-27 -4.84789205159357210e-30  5.33418985104616220e-32
1740+1311   6-Mar-17   93000.00   57818.39583333330            48.668313 -0.806 -9.065
   1028169754.590160    1.245252064335  vla  300   12   327.250                
 -5.50840180410518269e-10  5.90870049623760333e-03 -7.82015431960129243e-08
 -2.73092109145605533e-10  1.32659302067004734e-13  2.61813750702403499e-16
 -9.02428435442402187e-20 -1.99145498772057258e-22  3.49494188426647663e-25
  4.44419645023887970e-27 -5.97256937359283790e-30 -8.26109135212365743e-32
1740+1311   6-Mar-17  143000.00   57818.60416666660            48.668312 -0.793 -8.976
   1028192170.887137    1.245252064335  vla  300   12   327.250                
 -1.79483648643475380e-09  5.81117576686017608e-03 -1.97368688740303016e-07
  4.73565508496567163e-11  3.22488671351451635e-13 -3.94582130972905759e-17
 -2.08248087284210979e-19 -4.34305922008003987e-22  3.45100250904809133e-25
  1.51591897389430421e-26 -5.89970725398095888e-30 -1.82224050393043331e-31
1740+1311   6-Mar-17  193000.00   57818.81250000000            48.668312 -0.783 -8.981
   1028214587.153532    1.245252064335  vla  300   12   327.250                
  8.02251916853456305e-10  5.73576206237788079e-03 -1.54341992601369885e-08
  2.97081675835381838e-10  3.19312033483305641e-14 -2.85672686395955217e-16
 -4.33414716143374944e-21  2.74976051014378788e-22 -6.27422254379119977e-25
 -6.75653511814156777e-27  8.39979166722937120e-30  1.10070710590736298e-31
1740+1311   7-Mar-17    3000.00   57819.02083333330            48.668312 -0.791 -9.182
   1028237003.417629    1.245252064335  vla  300   12   327.250                
 -8.42087419234668942e-11  5.79901198380097967e-03  1.96456927203467237e-07
  1.04140887625313365e-10 -3.06135447185905247e-13 -1.03153262182447212e-16
  1.94612179372656697e-19  2.71890768885971473e-22  2.80782646873925645e-27
 -6.69423022496853222e-27 -1.67801187077420717e-30  6.87073980168305439e-32
